what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597121184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597123062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1356597128199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597131813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597209026
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1356597217614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597219659
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597225824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597229111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597233731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597234535
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1356597331473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597334943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597339813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597341712
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356597342166
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1356597344433
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1356597344435
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1356597344436
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1356597344437
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1356597344437
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1356597344438
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1356597344438
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1356597344438
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,18.0.0.v201203301601-306762,"overlay.com.android.ide.eclipse.adt.overlay",1356597344439
stopped,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1356597344443
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1356597344443
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1356597344443
stopped,bundle,org.eclipse.help.webapp,3.6.1.r37_20110929,"org.eclipse.help.webapp",1356597344443
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1356597344446
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1356597344447
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1356597344447
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1356597344447
stopped,bundle,org.eclipse.help.base,3.6.2.v201202080800,"org.eclipse.help.base",1356597344447
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1356597344457
